单词名,忘记次数,记得次数,需要背这个单词,难度,已查看次数,评论,图片有用
novel,0,0,0,10.0,1,,
indifferent,0,0,0,10.0,0,,
rider,2,0,0,9.275,2,,
propitiate,8,2,1,8.267080521291668,9,,
immaculate,6,3,1,7.631436624285715,8,,
impious,18,5,1,7.282520036769495,16,,
maculate,3,2,1,7.1546,5,,
pejorative,12,4,1,6.745076134558192,14,,
intrigue,16,3,1,6.671478741758461,19,intri 导致 gue 内鬼,0.0
arid,8,2,1,6.621953184532501,10,,
gorge,3,1,1,6.6051,4,,
nebulous,3,1,1,6.6051,4,那不勒斯星云,
maneuver,3,1,1,6.6051,4,,
obfuscate,5,1,1,8.587532750000001,6,,
assiduous,3,1,1,6.6051,4,,
imbroglio,3,1,1,6.6051,4,,
dabble,3,1,1,6.6051,4,,0.0
monarch,3,1,1,6.6051,4,,0.0
immutable,3,1,1,6.6051,4,,
pall,3,1,1,6.6051,4,,
jaundice,3,1,1,6.6051,4,,0.0
self-absorbed,3,1,1,6.6051,4,,
profane,3,1,1,6.6051,4,,
epitomize,3,1,1,6.6051,4,,
irreducible,3,1,1,6.6051,4,,0.0
recondite,3,1,1,6.6051,4,,
consign,3,1,1,5.944590000000001,5,,
gamble,3,1,1,6.6051,4,,
misconstrue,3,1,1,6.6051,4,,
pout,3,1,1,6.6051,4,,0.0
patina,3,1,1,6.6051,4,pat表面 pattern,
callous,3,1,1,6.6051,4,,0.0
integrity,3,2,1,6.6051,4,,
inveigh,3,1,1,6.6051,4,,
vacillate,3,1,1,6.6051,4,,1.0
forbearance,3,1,1,6.6051,4,,
pithy,3,1,1,6.6051,4,,
demur,3,1,1,6.6051,4,,
frothy,3,1,1,6.6051,4,,
scurvy,3,1,1,6.6051,4,,0.0
superimpose,3,1,1,6.6051,4,绘声绘色的,
dolorous,3,1,1,6.6051,4,dolo堕落，rous的，忧伤，堕落,
edifice,3,1,1,6.6051,4,,0.0
subvert,3,1,1,6.6051,4,,
varnish,3,1,1,6.6051,4,,
grueling,3,1,1,6.6051,4,,
preposterous,3,1,1,6.6051,4,,
terminology,3,1,1,6.6051,4,,
methodical,3,1,1,6.6051,4,,
cavil,3,1,1,6.6051,4,,0.0
spleen,3,1,1,6.6051,4,,
inveterate,3,1,1,6.6051,4,in不，veter新手，已经不是新手了，长期的习惯,
fulminate,3,1,1,6.6051,4,,0.0
apocalyptic,3,1,1,6.6051,4,,
forestall,3,1,1,6.6051,4,,0.0
deify,3,1,1,6.6051,4,define定义，deify定义一个神做崇拜,
pry,3,1,1,6.6051,4,,
aboveboard,3,1,1,6.6051,4,above 上 board桌面， 拿到桌面上来谈，光明正大,
placate,3,1,1,6.6051,4,,
bask,3,1,1,6.6051,4,bask在沙滩上晒背,
curt,3,1,1,6.6051,4,,0.0
indolent,3,1,1,6.6051,4,,
stifle,3,1,1,6.6051,4,,0.0
protean,3,1,1,6.6051,4,"变色龙
pro专业，tean技能",
pluck,3,1,1,6.6051,4,,
preclude,3,1,1,6.6051,4,,0.0
trudge,3,1,1,6.6051,4,,
prate,3,1,1,6.6051,4,,
adulate,3,1,1,6.6051,4,马屁精,
succor,3,1,1,6.6051,4,,
solace,3,1,1,6.6051,4,,0.0
pallid,4,1,1,6.6051,4,,
quash,3,1,1,6.6051,4,,
rakish,3,1,1,6.6051,4,,
glitch,3,1,1,6.6051,4,,
palliate,9,2,1,6.6051,4,,
disgorge,4,1,1,6.6051,4,,
stratagem,3,1,1,6.6051,4,,
rend,3,1,1,6.6051,4,,0.0
dispassionate,3,1,1,6.6051,4,,
inimical,3,1,1,6.6051,4,,
schism,3,1,1,6.6051,4,,
milieu,3,1,1,6.6051,4,,
intransigent,3,1,1,6.6051,4,,
vault,3,1,1,6.6051,4,欢呼雀跃,0.0
curtail,3,2,0,6.6051,4,,0.0
spartan,3,1,1,6.6051,4,,
lament,3,1,1,6.6051,4,,
squeamish,3,1,1,6.6051,4,,0.0
esteem,3,1,1,6.6051,4,,0.0
pontificate,3,1,1,6.6051,4,,
nonentity,3,1,1,6.6051,4,,
raffle,3,1,1,6.6051,4,,
rehabilitate,3,1,1,6.6051,4,re重新，habilitate适应，重新适应，就是复原了,
conspire,3,1,1,6.6051,4,,
insurgent,3,1,1,6.6051,4,,
backslide,3,1,1,6.6051,4,,
mulish,3,1,1,6.6051,4,mulish 目less 盲目 固执,0.0
invoke,3,1,1,6.6051,4,voke信封，invoke装进信里，生效了。已经密封好了，不能改了。,0.0
proclivity,3,1,1,6.6051,4,,
aggrandize,3,1,1,6.6051,4,,0.0
instigate,3,1,1,6.6051,4,,
rue,3,1,1,6.6051,4,,
respite,3,1,1,6.6051,4,,
soliloquy,3,1,1,6.6051,4,,0.0
serendipity,6,2,1,6.6051,4,,0.0
confluence,3,1,1,6.6051,4,,0.0
sectarianism,3,1,1,6.6051,4,,
congruent,3,1,1,6.6051,4,,
